"Google","English","in the working copy of 'History.csv', LF will be replaced by CRLF the next time Git touches it","Korean","'history.csv'의 작업 사본에서 LF는 다음에 git을 만질 때 CRLF로 대체됩니다."
"Google","English","means that the VS Code task variables like %file%, %fileDirname%, etc., are not being replaced with your actual file paths. This is because in VS Code tasks, you should use ${file}, ${fileDirname}, etc. (with curly braces and a dollar sign), not the Windows batch-style %file%.
Your current tasks.json uses a cmd command with %file%, which does not work with VS Code's variable substitution.","Korean","%파일 %, %filedirname %등과 같은 VS 코드 작업 변수는 실제 파일 경로로 대체되지 않음을 의미합니다. 이는 대 코드 작업에서 Windows 배치 스타일 %파일 %가 아닌 $ {file}, $ {filedirname} 등 (곱슬 버팀대 및 달러 표시 포함)을 사용해야하기 때문입니다.
현재 tasks.json은 %파일 %가있는 CMD 명령을 사용하며, 이는 Code의 변수 대체와 함께 작동하지 않습니다."
"Google","English","[Window Title]
Cursor

[Content]
Unable to start debugging. Launch options string provided by the project system is invalid. Unable to determine path to debugger.  Please specify the ""MIDebuggerPath"" option.

[Open 'launch.json'] [Cancel]","Korean","[창 제목]
커서

[콘텐츠]
디버깅을 시작할 수 없습니다. 프로젝트 시스템에서 제공하는 런칭 옵션 문자열은 유효하지 않습니다. 디버거 경로를 결정할 수 없습니다.  ""MideBuggerPath""옵션을 지정하십시오.

[OPEN 'LANCE.JSON'] [취소]"
"Google","English","hight","Korean","하이트"
"Google","English","2. Possible Loopholes / Ambiguities","Korean","2. 가능한 허점 / 모호성"
"Google","English","Do not reflect any information inferred from the problem title, filename, comments, or problem description in code autocompletion, function/variable name suggestions, code structure proposals, or hints/explanations.","Korean","코드 자동 완성, 함수/변수 이름 제안, 코드 구조 제안 또는 힌트/설명에서 문제 제목, 파일 이름, 주석 또는 문제 설명에서 추론 된 정보를 반영하지 마십시오."
"Google","English","n Python, the built-in int type does not have a representation for infinity. Only floating-point numbers (float) can represent infinity, using float('inf').","Korean","n Python, 내장 INT 유형은 인피니티에 대한 표현이 없습니다. 부동 소수점 번호 (플로트) 만 플로트 ( 'inf')를 사용하여 무한대를 나타낼 수 있습니다."
"Google","English","If you need an ""infinite"" integer for comparison purposes, you should use float('inf') or a very large integer value (like 10**18) depending on your use case. For most algorithms, float('inf') is the standard way to represent infinity in Python.","Korean","비교 목적으로 ""무한""정수가 필요한 경우 사용 사례에 따라 Float ( 'inf') 또는 매우 큰 정수 값 (예 : 10 ** 18)을 사용해야합니다. 대부분의 알고리즘의 경우 float ( 'inf')는 파이썬에서 무한대를 나타내는 표준 방법입니다."
"Google","English","familiarity","Korean","정통

명사:
    정통 (legitimacy, familiarity, mastery, complete knowledge)
    친함 (familiarity)
    허물없음 (familiarity)
    치근치근하게 구는 짓 (familiarity)
    무엄하게 구는 짓 (familiarity)"
"Google","English","gentle introduction to Dart","Korean","다트에 대한 부드러운 소개"
"Google","English","expert","Korean","전문가

명사:
    전문가 (expert, specialist, watcher, judge, cutup, sharp)
    숙련가 (expert, practician)

형용사:
    숙련된 (expert, skilful, skillful, skilled)
    교묘한 (clever, adroit, daedal, felicitous, crafty, expert)"
